B_Ion,A_Ion,C_Ion,AntiSolvent,Cell_Area,Solv_Anneal,HTL,Bandgap,Solvents,Backcontact,ETL,Synth_Atm,Dep_Procedure,Is_Module,Anneal_Temp,PCE,Voc,Jsc,FF
Pb,Cs; FA; MA,Br; I,0,,0,CuOx | Spiro-OMeTAD,1.55,chloroform,Ag,SnO2-c,Ambient air,Spin-coating,0,90,22.33,1.13,24.53,0.805
Ge,Rb,Br,0,,0,P3HT,1.49,Unknown,Ag,TiO2-c,Unknown,Unknown,0,,11.782,0.96,14.474,0.848
Pb,MA,I,0,0.2,0,"2,5Ã¢â‚¬Âbis(4,4Ã¢â‚¬Â²Ã¢â‚¬Âbis(methoxyphenyl)aminophenÃ¢â‚¬Â4Ã¢â‚¬Â²Ã¢â‚¬Â²Ã¢â‚¬Âyl)Ã¢â‚¬Â3,4Ã¢â‚¬Âethylenedioxythiophene",1.6,DMF >> IPA,Au,TiO2-c,Air >> Air,Spin-coating >> CBD,0,,10.6,0.97,18.9,0.57
Pb,BA; MA,I,0,0.09,0,Spiro-MeOTAD,,DMF; DMSO,Au,TiO2-c,Air,Spin-coating,0,100,10.01,1.01,16.61,0.525
Pb,FA; MA,Br; I,1,0.16,0,PTAA,1.62,DMF; DMSO,Au,TiO2-c | SnO2-c,N2,Spin-coating,0,100,19.8,1.13,22.58,0.78
Pb,MA,I,1,0.09,0,none,1.6,DMF; DMSO,Carbon,TiO2-c | TiO2-mp,N2,Spin-coating,0,100,14.29,0.97,22.78,0.64
Sn,Cs,I,0,0.06,0,none,,DMF,Al,PCBM-60 | BCP,N2,Spin-coating,0,,1.46,0.35,8.44,0.49
Pb,Cs; FA; MA,Br; I,1,0.1,0,PTAA,1.6,DMF; DMSO,Cu,C60 | BCP,N2,Spin-coating,0,100,18.79,1.13,21.59,0.77
Pb,MA,I,0,0.08,0,Spiro-MeOTAD,1.6,DMF,Au,TiO2-nw,N2,Spin-coating,0,,6.4,0.78,22.9,0.67
Pb,Cs,I,0,,0,Spiro-OMeTAD,1.73,Unknown,Au,LiCl@PPy NCPs-TiO2,Ambient air,Spin-coating,0,200,19.78,1.161,20.49,0.831
Pb,Cs; FA; MA,Br; I,0,,0,Spiro-OMeTAD,1.63,Unknown,Au,SnO2-c,Unknown,Unknown,0,,24.02,1.16,24.65,0.84
Pb,MA,I,1,0.09,0,none,1.59,DMF; DMSO,Ag,C60 | Bphen,N2,Spin-coating,0,100,4.78,0.91,12.16,0.43
Pb,MA,I,0,0.12,0,Spiro-MeOTAD | MoO3,1.6,DMF,Ag,PCBM-60,N2,Spin-coating,0,100,10.8,0.8,24.2,0.556
Pb,FA; MA,Br; I,0,0.0737,0,Spiro-MeOTAD,1.68,DMF; DMSO >> IPA,Au,SnO2-np,Air >> Air,Spin-coating >> Spin-coating,0,,21.52,1.13,23.69,0.806
Sn,((CH3)3S),I,0,0.152,0,none,,DMF,Pt | FTO | SLG,TiO2-mp | D35,N2,Drop-infiltration,0,,1.12,0.49,4.34,0.53
Pb; Zn,Cs,Br,0,0.1,0,none,,DMF >> Methanol,Carbon,TiO2-c | TiO2-mp,Ambient >> Ambient,Spin-coating >> Spin-coating,0,,6.59,1.453,5.81,0.781
Pb,Cs,Br; I,0,0.1,0,Aminothiazolium iodide | P3HT,,DMF; DMSO,Au,SnO2-np,Unknown,Spin-coating,0,,13.4,1.185,14.67,0.808
Pb,MA,I,0,0.1,0,C12-carbazole,1.53,DMF >> IPA,Au,TiO2-c | TiO2-mp,Unknown >> Unknown,Spin-coating >> Spin-coating,0,,11.26,0.86,21.13,0.62
Pb,MA,I,0,0.1,0,Spiro-MeOTAD,1.57,Unknown >> Unknown,Au,TiO2-c | TiO2-mp,Unknown >> Unknown,Unknown >> Unknown,0,,11.1,0.94,21.1,0.557
Pb,MA,I,0,0.1,0,Spiro-MeOTAD,1.6,DMF; DMSO,Au,TiO2-c | TiO2-mp,N2,Spin-coating,0,100,10.8,1.043,15.69,0.66
Pb,MA,I,1,0.14,0,none,1.6,DMF; DMSO,Carbon,TiO2-c | TiO2-mp,Unknown,Spin-coating,0,100,11.28,0.98,18.26,0.632
Pb,FA; MA,Br; I,1,0.15,0,Spiro-MeOTAD,,DMF; DMSO,Au,TiO2-c,Unknown,Spin-coating,0,100,14.77,1.038,23.2,0.705
